name,path,volume,date
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160215.jcsv,5838780,20160215
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160218.jcsv,3755460,20160218
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160219.jcsv,4328130,20160219
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160226.jcsv,7854570,20160226
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161108.jcsv,6383670,20161108
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160519.jcsv,11465370,20160519
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160518.jcsv,7934280,20160518
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160517.jcsv,6480720,20160517
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160516.jcsv,8312520,20160516
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160511.jcsv,7045950,20160511
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160510.jcsv,7223310,20160510
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160513.jcsv,11061180,20160513
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160512.jcsv,7888050,20160512
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161207.jcsv,7767990,20161207
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160616.jcsv,10268670,20160616
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160617.jcsv,12073410,20160617
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160614.jcsv,6261750,20160614
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160615.jcsv,6072870,20160615
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160613.jcsv,5890920,20160613
ag1610,/kywk/strategy/strange/future/ag/ag2016/ag1610/ag1610_20160920.jcsv,5929500,20160920
ag1709,/kywk/strategy/strange/future/ag/ag2016/ag1709/ag1709_20160921.jcsv,5524350,20160921
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20160922.jcsv,5174940,20160922
